@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
283,'2022/12/14 12:07:07:807',3,491,13,3
284,'2022/12/14 12:07:08:839',3,508,15,3
285,'2022/12/14 12:07:08:848',3,504,16,3
286,'2022/12/14 12:07:08:858',3,514,15,3
287,'2022/12/14 12:07:08:867',3,489,15,3
288,'2022/12/14 12:07:08:877',3,510,15,3
289,'2022/12/14 12:07:08:886',3,495,15,3
290,'2022/12/14 12:07:08:895',3,516,16,3
291,'2022/12/14 12:07:08:905',3,510,15,3
292,'2022/12/14 12:07:09:937',3,514,15,3
293,'2022/12/14 12:07:09:945',3,507,15,3
294,'2022/12/14 12:07:09:955',3,491,15,3
295,'2022/12/14 12:07:09:965',3,484,15,3
296,'2022/12/14 12:07:09:974',3,507,17,3
297,'2022/12/14 12:07:09:984',3,503,15,3
298,'2022/12/14 12:07:09:993',3,501,15,3
299,'2022/12/14 12:07:10:003',3,504,15,3
300,'2022/12/14 12:07:20:796',4,315,508,4
301,'2022/12/14 12:07:20:806',4,334,494,4
302,'2022/12/14 12:07:20:817',4,323,502,4
303,'2022/12/14 12:07:20:827',4,343,503,4
304,'2022/12/14 12:07:20:837',4,330,500,4
305,'2022/12/14 12:07:20:848',4,334,488,4
306,'2022/12/14 12:07:20:858',4,342,508,4
307,'2022/12/14 12:07:21:892',4,337,490,4
308,'2022/12/14 12:07:21:903',4,312,509,4
309,'2022/12/14 12:07:21:913',4,331,492,4
310,'2022/12/14 12:07:21:924',4,338,501,4
311,'2022/12/14 12:07:21:934',4,340,498,4
312,'2022/12/14 12:07:21:945',4,341,505,4
313,'2022/12/14 12:07:21:955',4,338,483,4
314,'2022/12/14 12:07:22:987',4,343,502,4
315,'2022/12/14 12:07:22:997',4,331,483,4
316,'2022/12/14 12:07:23:008',4,346,505,4
317,'2022/12/14 12:07:23:018',4,338,501,4
318,'2022/12/14 12:07:23:029',4,311,480,4
319,'2022/12/14 12:07:23:040',4,341,502,4
320,'2022/12/14 12:07:23:050',4,319,498,4
321,'2022/12/14 12:07:24:083',4,320,505,4
322,'2022/12/14 12:07:24:093',4,328,479,4
323,'2022/12/14 12:07:24:103',4,311,500,4
324,'2022/12/14 12:07:24:114',4,308,481,4
325,'2022/12/14 12:07:24:124',4,305,504,4
326,'2022/12/14 12:07:24:135',4,335,507,4
327,'2022/12/14 12:07:24:146',4,334,503,4
328,'2022/12/14 12:07:25:180',4,331,482,4
329,'2022/12/14 12:07:25:191',4,308,487,4
330,'2022/12/14 12:07:25:201',4,312,498,4
331,'2022/12/14 12:07:25:211',4,318,487,4
332,'2022/12/14 12:07:25:222',4,311,482,4
333,'2022/12/14 12:07:25:232',4,305,487,4
334,'2022/12/14 12:07:25:243',4,332,511,4
335,'2022/12/14 12:07:26:275',4,332,505,4
336,'2022/12/14 12:07:26:285',4,318,510,4
337,'2022/12/14 12:07:26:296',4,330,489,4
338,'2022/12/14 12:07:26:306',4,334,500,4
339,'2022/12/14 12:07:26:317',4,334,505,4
340,'2022/12/14 12:07:26:327',4,321,506,4
341,'2022/12/14 12:07:26:338',4,336,496,4
342,'2022/12/14 12:07:27:371',4,308,492,4
343,'2022/12/14 12:07:27:381',4,337,504,4
344,'2022/12/14 12:07:27:391',4,332,477,4
345,'2022/12/14 12:07:27:402',4,325,514,4
346,'2022/12/14 12:07:27:412',4,315,496,4
347,'2022/12/14 12:07:27:423',4,337,499,4
348,'2022/12/14 12:07:27:433',4,329,511,4
349,'2022/12/14 12:07:28:467',4,308,494,4
350,'2022/12/14 12:07:28:476',4,324,503,4
351,'2022/12/14 12:07:28:487',4,329,512,4
352,'2022/12/14 12:07:28:497',4,308,483,4
353,'2022/12/14 12:07:28:508',4,329,498,4
354,'2022/12/14 12:07:28:518',4,337,501,4
355,'2022/12/14 12:07:28:529',4,328,477,4
356,'2022/12/14 12:07:29:562',4,330,505,4
357,'2022/12/14 12:07:29:572',4,325,486,4
358,'2022/12/14 12:07:29:582',4,331,484,4
359,'2022/12/14 12:07:29:593',4,327,501,4
360,'2022/12/14 12:07:29:603',4,328,484,4
361,'2022/12/14 12:07:29:614',4,334,502,4
362,'2022/12/14 12:07:29:624',4,304,484,4
363,'2022/12/14 12:07:30:656',4,312,497,4
364,'2022/12/14 12:07:30:667',4,320,479,4
365,'2022/12/14 12:07:30:677',4,322,504,4
366,'2022/12/14 12:07:30:688',4,315,485,4
367,'2022/12/14 12:07:30:698',4,324,506,4
368,'2022/12/14 12:07:30:709',4,329,511,4
369,'2022/12/14 12:07:30:719',4,328,505,4
370,'2022/12/14 12:07:31:752',4,329,502,4
371,'2022/12/14 12:07:31:763',4,317,484,4
372,'2022/12/14 12:07:31:772',4,325,505,4
373,'2022/12/14 12:07:31:783',4,307,487,4
374,'2022/12/14 12:07:31:793',4,316,495,4
375,'2022/12/14 12:07:31:813',4,329,505,4
376,'2022/12/14 12:07:31:814',4,314,504,4
377,'2022/12/14 12:07:32:848',4,330,512,4
378,'2022/12/14 12:07:32:858',4,307,506,4
379,'2022/12/14 12:07:32:868',4,303,492,4
380,'2022/12/14 12:07:32:879',4,324,483,4
381,'2022/12/14 12:07:32:889',4,299,493,4
382,'2022/12/14 12:07:32:900',4,307,510,4
383,'2022/12/14 12:07:32:910',4,300,501,4
384,'2022/12/14 12:07:33:942',4,301,488,4
385,'2022/12/14 12:07:33:953',4,327,509,4
386,'2022/12/14 12:07:33:963',4,324,497,4
387,'2022/12/14 12:07:33:973',4,300,497,4
388,'2022/12/14 12:07:33:984',4,330,482,4
389,'2022/12/14 12:07:33:994',4,322,513,4
390,'2022/12/14 12:07:34:005',4,323,494,4
391,'2022/12/14 12:07:35:039',4,330,513,4
392,'2022/12/14 12:07:35:049',4,324,494,4
393,'2022/12/14 12:07:35:059',4,302,501,4
394,'2022/12/14 12:07:35:070',4,306,485,4
395,'2022/12/14 12:07:35:080',4,326,506,4
396,'2022/12/14 12:07:35:091',4,321,514,4
397,'2022/12/14 12:07:35:101',4,303,511,4
398,'2022/12/14 12:07:36:135',4,314,482,4
399,'2022/12/14 12:07:36:145',4,318,486,4
400,'2022/12/14 12:07:36:156',4,320,506,4
401,'2022/12/14 12:07:36:166',4,317,481,4
402,'2022/12/14 12:07:36:177',4,316,496,4
403,'2022/12/14 12:07:36:187',4,323,505,4
404,'2022/12/14 12:07:36:197',4,324,512,4
405,'2022/12/14 12:07:45:313',5,490,555,5
406,'2022/12/14 12:07:45:323',5,485,541,5
